date,equity,cash,peak,drawdown,daily_return
2024-04-26,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-04-29,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-04-30,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-02,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-03,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-06,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-07,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-08,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-09,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-10,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-13,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-14,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-15,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-16,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-17,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-21,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-22,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-23,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-24,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-27,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-28,28521059.729946405,28521059.729946405,28521059.729946405,0.0,0.0
2024-05-29,28418572.254983705,28418572.254983705,28521059.729946405,-0.003593396456271604,-0.003593396456271658
2024-05-30,28659648.45764193,33.78848299384117,28659648.45764193,0.0,0.00848305117143755
2024-05-31,30402870.073553134,30402870.073553134,30402870.073553134,0.0,0.06082494760839907
2024-06-03,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.07435231817235977
2024-06-04,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-05,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-06,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-07,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-10,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-11,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-12,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-13,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-14,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-18,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-19,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-20,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
2024-06-21,32663393.942614872,32663393.942614872,32663393.942614872,0.0,0.0
